,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
332,TSIS,Tsisima,"Chijima, MDM Peak",Janak Himal (WSW of Janak Chuli),6196,20328,6,1,False,True,False,,,1,2,,1963,1,TSIS63101,Jun 03,"Japan, Nepal","Motohiko Kogo, Kunga Norbu",,,,Jun 03 1963,332,APPROXIMATE,"Tsushima, Japan",ChIJRY3L002daTURAoTvZbwvOCs,27.843611,88.152778,1,,OK,"establishment,natural_feature"
333,TAWA,Tawa,,Damodar Himal (NNE of Yakawa Kang),6110,20046,3,5,False,True,False,,,1,2,,2010,3,TAWA10301,Oct 21,"Japan, Nepal","Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa",,,,Oct 21 2010,333,ROOFTOP,"487 Glenbrook Rd, Stamford, CT 06906, USA",ChIJ93iTp7GhwokRJo3-cNDrXSc,,,1,06906,OK,"establishment,food,point_of_interest,restaurant"
334,URMA,Urkema,"Baden Powell Scout Peak, Urgyenma",Langtang Himal (W of Ganja La),5890,19324,13,3,True,False,False,,,1,2,,2007,3,URMA07301,Sep 12,"Taiwan, S Korea, Singapore, Australia, Nepal",15 international scout students and 6 Sherpas,,,,Sep 12 2007,334,ROOFTOP,"100 PA-413, Bristol, PA 19007, USA",ChIJlYtrY3ZOwYkRmWVJkVjwLBA,28.166389,85.533611,1,19007,OK,"establishment,point_of_interest"
335,MPNW,Manapathi NW,,"Dhaulagiri Himal (SSW of Dhaulagiri I, NW of Manapathi)",6384,20945,4,6,False,True,False,,,1,2,,1977,1,MPNW77101,Apr 20,"Italy, UK, W Germany","Reinhold Messner, Leo Dickinson, Eric Jones, Otto Wiedemann",,,,Apr 20 1977,335,APPROXIMATE,"Manampathi, Tamil Nadu 603403, India",ChIJ06neezjfUjoR-NvmBEv2nB4,28.645556,83.458333,1,603403,OK,"locality,political"
336,LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",Rolwaling Himal (SW of Nangpa La on Tibetan border),6895,22621,19,2,False,True,False,,Requires permit for Jobo Rinjang,4,1,,0,0,,,,Unclimbed,,,,,336,,,,28.050556,86.551111,0,,ZERO_RESULTS,
337,JASG,Jasemba Goth,Dzasampa Kang,Khumbu Himal (NW of Pasang Lhamu Chuli),6730,22080,12,2,True,False,False,,Opened in 2014,1,2,,1964,1,JASG64101,Apr 08,W Germany,"Georg Huber, Fritz Stammberger",,,,Apr 08 1964,337,,,,28.087222,86.605,0,,ZERO_RESULTS,
338,GOJN,Gojung,Mugu Chuli,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),6310,20702,11,7,False,True,False,,,4,2,,2011,3,GOJN11301,Oct 19,UK,"Mick Fowler, Dave Turnbull",,,,Oct 19 2011,338,GEOMETRIC_CENTER,"1 Jalan Anak Bukit, #L1-CA2 Bukit Timah Plaza, Singapore 588996",ChIJs12GA4kQ2jERHpp_wOoQRBM,29.847895,82.622778,1,588996,OK,"establishment,food,point_of_interest,store"
339,NAN2,Nangamari II,,Ohmi Kangri Himal (S of Nangamari I),6209,20371,6,1,True,False,False,,,1,2,,2016,3,NAN216301,Oct 17,Japan,"Tsuneo Shigehiro, Kensuke Iwai, Kiyo Kuroda, Shiro Matsunaka, Yusuke Morimoto, Kanji Totegi, Miyoko Nagase, Masayuki Takenaka, Saori Tatsuno",,,,Oct 17 2016,339,,,,27.891389,87.866667,0,,ZERO_RESULTS,
340,DRAG,Dragmorpa Ri,"Thakmarpo Ri, Panaya Tippa",Langtang Himal (SW of Tilman's Col on Tibetan border),6185,20292,13,3,True,False,False,,,4,2,,2013,1,DRAG13101,May 30,Russia,Roman Gretzky,Did Gretzky climb Dagmorpa Ri or Paniyo Tippa in Khumbu?,,,May 30 2013,340,,,,28.325278,85.666111,0,,ZERO_RESULTS,
341,SYKG,Syaokang,,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),5929,19452,6,1,True,False,False,,,1,2,,2012,3,SYKG12301,Oct 25,New Zealand,"John Cocks, Martin Hunter, Geoffrey Lamarche, Paul Maxim, Nick Schearer",,,,Oct 25 2012,341,GEOMETRIC_CENTER,"Shaokang Street, Qianzhen District, Kaohsiung City, Taiwan 806",ChIJK0UC6WMDbjQReBS8lFldVyk,27.863889,87.919444,1,806,OK,route
