,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
220,APPROXIMATE,"Boulder, CO, USA",ChIJ06-NJ06Na4cRWIAboHw7Ocg,"Boulder, Colorado",40.0149856,-105.2705456,1,,OK,"locality,political"
221,APPROXIMATE,"Milan, Metropolitan City of Milan, Italy",ChIJ53USP0nBhkcRjQ50xhPN_zw,"Milano, Italy",45.4642035,9.189982,1,,OK,"locality,political"
222,APPROXIMATE,"Innsbruck, Austria",ChIJc8r44c9unUcRDZsdKH0cIJ0,"Innsbruck, Tirol, Austria",47.2692124,11.4041024,1,,OK,"locality,political"
223,APPROXIMATE,"6175 Kematen in Tirol, Austria",ChIJ7Q7vtNEUnUcRYIrmLVeXAAQ,"Kematen, Tirol, Austria",47.2549263,11.2737976,1,6175,OK,"locality,political"
224,APPROXIMATE,"33100 Udine, Province of Udine, Italy",ChIJ9QC7_K9KekcRWDiW9CnZVzA,"Udine, Italy",46.0710668,13.2345794,1,33100,OK,"locality,political"
225,APPROXIMATE,"22100 Como, Province of Como, Italy",ChIJY-0nEEichkcRJPVfeK-Wm7k,"Como, Italy",45.8080597,9.0851765,1,22100,OK,"locality,political"
226,APPROXIMATE,"39047 Santa Cristina Gherdëina, Province of Bolzano - South Tyrol, Italy",ChIJYUwhGGQTeEcRrAudQE6BuUM,"Santa Cristina, Bolzano, Italy",46.5681399,11.7192798,1,39047,OK,"administrative_area_level_3,political"
227,APPROXIMATE,"Livorno, Province of Livorno, Italy",ChIJow9-62fp1RIR1BPaIn3zLWA,"Livorno, Italy",43.548473,10.3105674,1,,OK,"locality,political"
228,APPROXIMATE,"6167 Neustift im Stubaital, Austria",ChIJmfb49MZGnUcRpjEyedj1Tg4,"Neustift, Tirol, Austria",47.1090461,11.3052459,1,6167,OK,"locality,political"
229,APPROXIMATE,"6167 Neustift im Stubaital, Austria",ChIJmfb49MZGnUcRpjEyedj1Tg4,"Neustift, Tirol, Austria",47.1090461,11.3052459,1,6167,OK,"locality,political"
230,APPROXIMATE,"39046 Urtijëi, Province of Bolzano - South Tyrol, Italy",ChIJuduAp_kSeEcRO6CWKLI12Do,"Ortisei, Bolzano, Italy",46.5734348,11.6742025,1,39046,OK,"locality,political"
231,APPROXIMATE,"6491 Schönwies, Austria",ChIJWxl4UkzDnEcRwMM78Q5td-Y,"Schoenwies, Tirol, Austria",47.1983973,10.6588837,1,6491,OK,"locality,political"
232,APPROXIMATE,"Woluwe-Saint-Pierre, Belgium",ChIJidlP6I_bw0cRbB-_KFNZQTc,"Woluwe-St. Pierre, Belgium",50.8299809,4.4335038,1,,OK,"locality,political"
233,APPROXIMATE,"Jackson, WY, USA",ChIJS3_P_FgaU1MRXIM6scsBHD0,"Jackson, Wyoming",43.4799291,-110.7624282,1,,OK,"locality,political"
234,APPROXIMATE,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"Denver, Colorado",39.7392358,-104.990251,1,,OK,"locality,political"
235,APPROXIMATE,"Danville, CA, USA",ChIJhwVQCRLzj4AR1S-D85d7Wxg,"Danville, California",37.8215929,-121.9999606,1,,OK,"locality,political"
236,APPROXIMATE,"Golden, CO, USA",ChIJ92xohxKYa4cR3FWAIFRGxhQ,"Golden, Colorado",39.755543,-105.2210997,1,,OK,"locality,political"
237,APPROXIMATE,"Oakland, CA, USA",ChIJA-2qKIt9hYARZ5N1NdUVtHE,"Oakland, California",37.8043637,-122.2711137,1,,OK,"locality,political"
238,APPROXIMATE,"Bellingham, WA, USA",ChIJF4dF8i6WhVQR8OA5zamcetU,"Bellingham, Washington",48.7519112,-122.4786854,1,,OK,"locality,political"
239,APPROXIMATE,"Carbondale, CO 81623, USA",ChIJ1yELJZerQYcRz0qT93lh0Hc,"Carbondale, Colorado",39.4022054,-107.2111628,1,81623,OK,"locality,political"
240,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
241,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
242,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
