,PKNAME,LOCATION,HEIGHTM,HIMAL,PYEAR,PSUMMITERS,firstsummitdate,latitude,longitude
157,Pyramid Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7140,7,1993,"Yoshio Ogata, Jot Singh Bhandari, Hiroshi Iwazaki, Phurba Lepcha, Sunder Singh Martolia, Lobsang Sherpa, Nobuhiro Shingo",Apr 24 1993,27.821,88.173
158,Raksha Urai,Raksha Urai Himal (ESE of Nampa),6609,2,2003,"Arnaud Clere, Catherine Couland, Gael Faroux, Keshab Raj Gurung",Oct 15 2003,29.95,81.116667
159,Ramdung,Rolwaling Himal (W of Tesi Laptsa),5900,19,1952,"Tom MacKinnon, Dawa Tenzing Sherpa, Mingma Sherpa",Oct 1952,27.8525,86.415711
160,Rathong,Simhalila Himal (SW of Kabru on Indian border),6682,9,1964,"H. P. S. Ahluwalia, Ang Kami Sherpa, Dorje Latoo Sherpa, Nawang Gombu Sherpa",Oct 29 1964,27.593333,88.086667
161,Roc Noir,Annapurna Himal (ENE of Annapurna I),7485,1,1969,"Reinhold Obster, Pit Schubert, Karl Winkler",May 09 1969,28.613422,83.871471
162,Rokapi,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",6468,2,1977,"Thomas Herley, Kelvin McLane",Oct 10 1977,29.8493,81.0405
163,Saipal East Humla,Saipal Himal (NE of Saipal),6925,20,1990,"Jacques Montaz, Tendi Sherpa",Oct 26 1990,29.8891666,81.4941666
164,Saipal,Saipal Himal,7030,20,1963,"Katsuotoshi Hirabayashi, Pasang Phutar Sherpa (I)",Oct 21 1963,29.8891666,81.4941666
165,Shartse,Khumbu Himal (E of Lhotse Shar on Tibetan border),7591,12,0,Unclimbed,,27.9493,86.9832
166,Shartse II,Khumbu Himal (E of Lhotse Shar on Tibetan border),7457,12,1974,"Kurt Diemburger, Hermann Warth",May 23 1974,27.955604,86.96472
167,Shey Shikhar,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),6139,10,2007,Katsuhito Fujikawa,Aug 23 2007,29.286944,82.796389
168,Singu Chuli,Annapurna Himal (Annapurna Sanctuary),6501,1,1957,"David Cox, Wilfred Noyce",Jun 13 1957,28.583333,83.9
169,Sisne Himal,Sisne Himal (SW of Juphal in Rukum),5911,10,2013,"Man Bahadur Khatri, Alonzo Lyons, Dbruba Bista, Mulal Gurung, Nilam Gurung, Ali Bahadur Khatri, Vinaya Jaya Malla, Amrit Sarki",May 26 2013,29.783333,80.341667
170,Sita Chuchura,Mukut Himal (ENE of Dhaulagiri II near French Pass),6611,16,1970,"Masahiko Takahashi, Hiroshi Harada, Nobuyki Hirato, Phurba Kitar Sherpa",Oct 26 1970,28.786,83.4781
171,Snow Peak,Dhaulagiri Himal (E of Dhaulagiri II),6530,4,0,Unclimbed,,,
172,Sphinx,Jongsang Himal (NE of Pathibhara on Indian border),6825,7,1936,"J. K. Cooke, Frederick S. Chapman, John B. Harrison",Jun 1936,27.825,88.188
173,Sharphu I,Ohmi Kangri Himal (WNW of Kangchenjunga),6433,6,1963,"Takao Ishinabe, Chiharu Miyamoto, Yuzo Tatsumi",Oct 22 1963,27.752222,87.916944
174,Surma-Sarovar North,Api Himal (SSE of Jethi Bahurani),6564,2,0,Unclimbed,,29.65,81.07
175,Tawoche,Khumbu Himal (NW of Ama Dablam),6495,12,1974,"Louis Dubost, Paul Gendre",Apr 15 1974,27.9038889,86.7716667
176,Kirat Chuli,Jongsang Himal (N of Kangchenjunga on Indian border),7362,7,1939,"Ernst Grob, Herbert Paidar, Ludwig Schmaderer",May 29 1939,27.7883333,88.1958333
177,Thamserku,Khumbu Himal (SW of Ama Dablam),6618,12,1964,"Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart",Nov 04 1964,27.7895215,86.7856208
178,Tharpu Chuli,Annapurna Himal (Annapurna Sanctuary),5695,1,1964,"Masaaki Kimura, Kiyoo Shimada",Oct 23 1964,28.5528997,83.881259
179,Tilicho,Annapurna-Nilgiri Himal (N of Annapurna I),7134,1,1978,Emmanuel Schmutz,Oct 10 1978,28.683333,83.856667
180,Talung,Simhalila Himal (S of Kangchenjunga on Indian border),7349,9,1964,"Franz Lindner, Tenzing Nanda Sherpa",May 19 1964,27.655037,88.131023
181,Tongu,Mukut Himal (N of Hongde in Hidden Valley),6187,16,1959,"John Humphreys, Fred Dunn, John Noxon",Oct 21 1959,,
182,Tripura Hiunchuli,Kanjiroba Himal (SE of Kanjiroba),6553,10,1986,"Noriyuki Hata, Katashi Tokimoto, Ang Phuri Sherpa",Oct 17 1986,29.3266666,82.7358333
183,Tso Karpo Kang,Kanjiroba Himal (E of Kanjiroba),6556,10,1971,"Shoji Miyoshi, Koji Mizutani",Oct 25 1971,29.368611,82.781667
184,Tukuche,Dhaulagiri Himal (NE of Dhaulagiri I),6920,4,1970,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",Apr 30 1970,28.7768018,83.570964
185,Urkinmang,Jugal Himal (W of Dorje Lhakpa),6143,8,1964,"Akira Ban, Kazuhisa Jokei, Tesuya Kiyohara, Mingma Tshering Sherpa",May 20 1964,28.211667,85.669167
186,Anidesh Chuli,Kangchenjunga Himal (W of Kangbachen),6808,9,0,Unclimbed,,27.854444,88.197778
187,Tsaurabong Peak,Dhaulagiri Himal (SSE of Dhaulagiri V),6395,4,1974,"Genzaburo Yamasaki, Sherpas (?)",,28.695278,83.372778
188,Yalung Kang,Kangchenjunga Himal (W summit of Kangchenjunga),8505,9,1973,"Yutaka Ageta, Takao Matsuda",May 14 1973,27.7052,88.1367
189,Pasang Lhamu Chuli,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,12,1986,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",Oct 12 1986,28.073333,86.614167
190,Ratna Chuli,Peri Himal (NW of Himlung on Tibetan border),7035,18,1996,"Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang",Oct 14 1996,28.8641666,84.375
191,Kanti Himal,Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,11,2002,"Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa",Sep 24 2002,29.835833,82.647778
192,Ramtang,Kangchenjunga Himal (N of Kangbachen),6601,9,1930,"Erwin Schneider, Frank Smythe",May 1930,27.75,88.085
193,Lingtren,Khumbu Himal (ENE of Pumori on Tibetan border),6713,12,1935,"Eric Shipton, Dan Bryant",Aug 1935,28.027778,86.855
194,Tengkoma,Jongsang Himal (NW of Kangchenjunga),6215,7,1949,"Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant, Pasang Sherpa",Jun 17 1949,27.809,88.074
195,Ramtang Chang,Kangchenjunga Himal (N of Ramtang),6802,9,1974,"Janez Gradisar, Bojan Pollak, Michael Smolej",Oct 05 1974,27.766,88.084
196,Churen Himal East,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,4,1970,"Kim Ho-Sup, Rinsing Ongyal Sherpa",Apr 29 1970,28.735,83.2166666
197,Churen Himal West,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,4,1970,"Kozo Hasegawa, Ang Norbu Sherpa",Oct 28 1970,28.731755,83.210059
198,Chhukung Ri,Khumbu Himal (S of Lhotse),5550,12,1965,Johannes Adolf Noordijk,May 1965,27.926057,86.879196
199,Kangtokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,4,1962,"Zenkichi Hirayama, Ang Temba Sherpa",Jun 06 1962,28.801389,83.168889
200,Serku Dolma,Kanjiroba Himal (S of Tso Karpo Kang),6227,10,1973,"Eiken Moriyama, Morihiro Takechi, Anu Sherpa",Oct 30 1973,,
201,Nalakankar South,Nalakankar Himal (on W Nepal/Tibetan border),6024,17,2000,"Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",Jul 07 2000,30.266667,81.435556
202,Changwathang,Chandi Himal (S of Tibetan border),6130,17,2000,"Tamotsu Ohnishi, Koji Mizutani, Nobuo Akayama, Takehiko Yanagihara, Chuldim Nuru Sherpa, Dawa Sherpa",Jun 28 2000,30.326667,81.885
203,Takphu Himal,Nalakankar Himal (on W Nepal/Tibetan border),6395,17,0,Unclimbed,,30.283889,81.417778
204,Malanphulan,"Khumbu Himal (S of Ama Dablam, NW of Kangtega)",6573,12,2000,"Peter Carse, Amy Bullard",Apr 28 2000,27.802778,86.872222
205,Lhotse Middle,Khumbu Himal (E of Lhotse),8410,12,2001,"Sergei Timofeev, Alexei Bolotov, Piotr Kouznetsov, Evgeni Vinogradski",May 23 2001,27.961089,86.938023
206,Simnang Himal,Manaslu Himal (SE of Manaslu),6251,15,2001,"Mistislav Gorbenko, Vadim Leontiev, Sergei Pugachov, Mykhaylo Zagirnyak",May 16 2001,28.51651,84.64495
207,Hungchhi,Khumbu Himal (S of Gyachung Kang on Tibetan border),7029,12,2003,"Katsuo Fukuhara, Tadashi Morita, Kanji Shimizu, Durga Rai, Hit Bahadur Tamang, Ram Kaji Tamang, Tul Bahadur Tamang",Apr 19 2003,28.035,86.7583333
208,Lampo,Ganesh Himal (N of Ganesh I on Tibetan border),6648,5,0,Unclimbed,,28.497983,85.157144
209,Chhukung Tse,Khumbu Himal (S of Lhotse),5833,12,1953,"John Hunt, Tenzing Norgay Sherpa",Apr 03 1953,27.938982,86.87466
210,Dzanye,Janak Himal (WNW of Lashar I on Tibetan border),6581,6,1949,"Alfred Sutter, Rene Dittert, Annelies Lohner, Jacob Pargaetzi-Almer, Edouard Wyss-Dunant",Jun 30 1949,27.906111,88.026667
211,Gaugiri,Damodar Himal (N of Bhrikuti on Tibetan border),6110,3,2002,"Peter Ackroyd, Jim Frush",May 28 2002,29.046,84.188
212,Tengkangpoche,Rolwaling Himal (W of Kwangde),6482,19,1984,"Trevor Pilling, Andy Zimet",Oct 1984,27.803968,86.59647
213,Arniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,16,2002,"Tamotsu Ohnishi, Ang Phurba Sherpa, Dikki Sherpa",Jul 10 2002,29.176389,83.656944
214,Saribung,Damodar Himal (W of Bhrikuti),6328,3,2003,"Jim Frush, Steve Furman",Oct 15 2003,28.885,84.172
215,Ghenge Liru,Langtang Himal (WSW of Langtang Lirung),6596,13,1963,"Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)",May 28 1963,28.245833,85.422778
216,Naulekh,Khumbu Himal (S of Mera Peak),6340,12,1954,"Colin Todd, Bill Beaven",Jun 08 1954,27.686667,86.9
217,Chekigo,Rolwaling Himal (ENE of Beding village on Tibetan border),6121,19,2005,"Bruce Normand, Oliver von Rotz",May 15 2005,27.832,86.45
218,Khatung Khang,Annapurna-Nilgiri Himal (SW of Thorong La),6484,1,1956,"Arthur Baumgartner, Marguerite Deriaz",Apr 12 1956,28.660556,84.019306
219,Chago,Makalu Himal (NW of Makalu II on Tibetan border),6893,14,1954,"Michael Ball, Urkien Sherpa",May 29 1954,27.926053,87.054029
220,Numri,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,12,2002,"Olaf Rieck, Carsten Schmidt, Lydia Schubert",Nov 07 2002,28.022222,86.800833
221,Peak 41,Khumbu Himal (ESE of Ama Dablam),6648,12,2002,"Matic Jost, Urban Golob, Uros Samec",Oct 16 2002,27.774,86.909
222,Kyazo Ri,Khumbu Himal (SW of Gokyo Lake),6151,12,2002,"Duncan Wilson, Vincent Marche",Oct 20 2002,27.9070584,86.6381836
223,Pandra,Ohmi Kangri Himal (NW of Lhonak),6670,6,2002,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",Oct 16 2002,27.864,87.993
224,Danga,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6220,6,2002,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",Oct 20 2002,27.816,87.977
225,Pokharkang,Damodar Himal (N of Pisang Peak),6372,3,2002,"Richard Scott, Dave Wynne-Jones, Kaji Sherpa",Nov 17 2002,,
226,Nangpai Gosum I,Khumbu Himal (WSW of Cho Oyu on Tibetan border),7321,12,0,Unclimbed,,28.07358,86.614393
227,Khangri Shar,Khumbu Himal (W of Pumori),6792,12,0,Unclimbed,,28.02,86.812
228,Khangri West,Khumbu Himal (W of Pumori),6658,12,0,Unclimbed,,28.019241,86.790461
229,Purbung Himal,Damodar Himal (N of Chulu West),6500,3,0,Unclimbed,,28.802,84.018
230,Tashi Kang,Mukut Himal (N of Dhampus Peak),6386,16,2002,"Yasue Mogi, Gyalzen Sherpa",Aug 14 2002,28.853,83.629
231,Tengi Ragi Tau,Rolwaling Himal (N of Tesi Laptsa),6938,19,2002,"Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang",Dec 04 2002,27.8575,86.5541666
232,Kyashar,Khumbu Himal (S of Kantega),6770,12,2003,"Bruce Normand, Sam Broderick, Andreas Frank",Oct 18 2003,27.755,86.8224999
233,Nirekha,Khumbu Himal (NW of Lobuje Peak),6159,12,0,1st ascent unknown,,27.977568,86.762939
234,Norbu Kang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,10,2003,"Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",Jun 25 2003,29.117222,83.092778
235,Lunchhung Kamo East,Kanti Himal (SE of Danfe Sail on Tibetan border),6024,11,1999,"Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",Jul 09 1999,,
236,Linkhu Chuli Shar,Rolwaling Himal (S of Parchamo),6719,19,0,Unclimbed,,27.808787,86.540882
237,Linkhu Chuli Nup,"Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,19,1960,"Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",Oct 21 1960,27.805,86.524
238,Panalotapa,Rolwaling Himal (W of Tengkangpoche),6687,19,1955,"Peter Boultbee, Dennis Davis",May 1955,27.805444,86.570056
239,Shalbachum,Langtang Himal (E of Langtang Lirung on Tibetan border),6707,13,1959,"Sadao Hojo, Tetsuro Terahata, Dawa Thondup Sherpa, Pasang Temba Sherpa",Oct 25 1959,28.272778,85.633333
240,Khumbutse,Khumbu Himal (NW of Lho La on Tibetan border),6639,12,0,Unclimbed,,28.021179,86.872616
241,Boktoh,Kangchenjunga Himal (SE of Jannu),6114,9,1991,"Marko Prezelj, Uros Rupar, Andrej Stremfelj",Apr 10 1991,27.620833,88.0075
242,Mojca,Kangchenjunga Himal (W of Ramtang Chang),6024,9,1974,"Stane Belak, Danilo Cedilnik",Oct 11 1974,27.770833,88.051111
243,Palung,Langtang Himal,7012,12,1952,"Edmund Hillary, George Lowe",May 13 1952,28.385556,85.711111
244,Tutse,Makalu Himal (SE of Makalu),6758,14,0,Unclimbed?,,27.771944,87.101389
245,Nuptse East I,Khumbu Himal (W of Nuptse main summit),7795,12,2003,"Valeri Babanov, Yuri Kochelenko",Nov 02 2003,27.961679,86.893916
246,Amotsang,Damodar Himal (NW of Pokharhan),6393,3,0,Unclimbed?,,28.835278,84.172222
247,Yansa Tsenji,Langtang Himal (SW of Shalbachum on Tibetan border),6567,13,0,Unclimbed,,28.256389,85.611111
248,Himjung,Peri Himal (S of Himlung Himal),7092,18,2012,"Kim Chang-Ho, An Chi-Young",Oct 12 2012,28.758056,84.417778
249,Amphu I,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,12,2013,"Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",Oct 09 2013,27.871033,86.955577
250,Chabuk,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),6792,6,0,Unclimbed,,27.9,88.0833
251,Chako,Damodar Himal (ESE of Bhrikuti Shail),6704,3,2007,"Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",Jul 24 2007,28.8805,84.2847
252,Dome Kang,Jongsang Himal (ESE of Jongsong on Indian border),7264,7,2009,"Emilio Lagunilla, Carlos Soria, Chhang Dawa Sherpa, Karma Gyalzen Sherpa, Halung Dorchi Sherpa",Apr 28 2009,27.877778,88.151111
253,Ghhanyala Hies,Janak Himal (NW of Janak Chuli on Tibetan border),6744,6,0,Unclimbed,,27.895833,88.0825
254,Hunku,Khumbu Himal (NNE of Peak 41),6119,12,2012,"Nick Bullock, Andy Houseman",Nov 11 2012,27.806111,86.928056
255,Janak Chuli,Janak Himal (WNW of Jongsang on Tibetan border),7041,6,2006,"Andrej Stremfelj, Rok Zalokar",May 06 2006,27.872,88.091
256,Kabru South,Simhalila Himal (S of Kabru North on Indian border),7318,9,1994,"S. P. Malik, N. Arshad, 11 members",May 12 1994,27.6341666,88.1183333
257,Kabru Main,Simhalila Himal (S of Talung on Indian border),7412,9,1994,"Dan Singh, 2 unknown members",May 12 1994,27.635,88.118333
258,Lashar I,Janak Himal (NW of Lashar II on Tibetan border),6842,6,2005,"Andrej Stremfelj, Miha Habjan",Oct 12 2005,27.896,88.054
259,Lashar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,6,0,Unclimbed,,27.887,88.065
260,Nangpai Gosum II,Khumbu Himal (WSW of Cho Oyu on Tibetan border),7287,12,0,Unclimbed,,28.072222,86.614444
261,Nangamari I,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,6,2010,"Timothy Macartney-Snape, David Barton",Nov 05 2010,27.910556,87.868056
262,Panbari,Peri Himal (NW of Larkya La),6905,18,2006,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",Sep 29 2006,28.718889,84.4825
263,Phungi Himal,Manaslu Himal (W of Manaslu),6538,15,0,Unclimbed,,28.554444,84.485833
264,Mariyang,Kanti Himal (SE of Kanti Himal on Tibetan border),6528,11,0,Unclimbed,,29.693056,82.890278
265,Takargo,Rolwaling Himal (E of Chobutse),6771,19,2010,"David Gottlieb, Joseph Puryear",Mar 12 2010,27.876,86.509
266,Thulagi,Manaslu Himal (SW of Manaslu),7059,15,2015,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",Sep 26 2015,28.528124,84.520693
267,Jomsom Himal,Damodar Himal (WNW of Amotsang Himal),6335,3,2003,"Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa",Nov 04 2003,28.871944,84.158333
268,Bamongo,Rolwaling Himal (E of Chekigo on Tibetan border),6406,19,2013,"Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa",Oct 30 2013,27.909167,86.431944
269,Chaw Peak,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),6404,6,0,Unclimbed,,27.909444,87.943611
270,Dingjung North,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6249,19,1955,"Peter Boultbee, Dennis Davis",May 16 1955,27.987778,86.516944
271,Kang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,19,2008,"Joseph Puryear, David Gottlieb",Oct 17 2008,27.906,86.442
272,Kambong,Dhaulagiri Himal (SE of Gurja Himal),6570,4,0,Unclimbed,,28.668611,83.313333
273,Khamjung,Damodar Himal (W of Saribung and Bhrikuti),6759,3,0,Climbed?,,28.889167,84.129722
274,Kyungka Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,13,0,Unclimbed?,,28.325833,85.661667
275,Kyungka Ri 2,Langtang Himal (NE of Shalbachum on Tibetan border),6506,13,0,Unclimbed,,28.303333,85.667222
276,Kojichuwa Chuli,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,11,2010,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto",May 25 2010,29.867,82.643
277,Chhiv Himal,Damodar Himal (SW of Saribang and WSW of Bhrikuti),6650,3,2004,"Takeshi Wada, Mitsuhiro Koseki, Yubo Shibata, Takeo Yoshinaga",Sep 18 2004,28.874,84.16
278,Langmoche Ri,Rolwaling Himal (N of Tesi Laptsa),6552,19,2012,"Roberto Villanueva, Alan Rousseau",Nov 17 2012,27.865556,86.612222
279,Lachama Chuli,Changla Himal (N of Gorakh Himal on Tibetan border),6721,17,2007,"Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani",Sep 14 2007,30.135556,82.199444
280,Panpoche 1,Manaslu Himal (NE of Sama village near Tibetan border),6620,15,0,Unclimbed,,28.628819,84.681699
281,Panpoche 2,Manaslu Himal (NE of Sama village near Tibetan border),6504,15,0,Unclimbed,,28.614167,84.686944
282,Phole,Kangchenjunga Himal (W of Kumbhakarna and Sobitongie),6645,9,0,Unclimbed,,27.686944,88.010278
283,Phu Kang,Peri Himal (N of Cheo Himal on Tibetan border),6694,18,0,Unclimbed,,28.793056,84.4475
284,Langchung Khang,Jongsang Himal (NW of Langpo on Indian border),6786,7,0,Unclimbed?,,27.8564,88.1782
285,Peak 4,Khumbu Himal (SE of Baruntse),6736,12,0,Unclimbed,,27.826944,87.050833
286,Nampa II,Api Himal (W of Nampa),6585,2,0,Unclimbed,,30.0425,81.1075
287,Nampa III,Api Himal (SE of Nampa),6611,2,0,Unclimbed,,29.982778,81.0175
288,Nampa South,"Api Himal (S of Nampa, W of Nampa Chuli)",6130,2,0,Unclimbed?,,29.966667,81.016667
289,Sobithongie,Kangchenjunga Himal (W of Kumbhakarna),6652,9,0,Unclimbed,,27.686389,88.028333
290,Shershon,Makalu Himal (NE of Shershon village on Tibetan border),6432,14,0,Unclimbed,,27.80959,87.080844
291,Swaksa Kang,Kanti Himal (SE of Kanti Himal peak on Tibetan border),6405,11,0,Unclimbed,,29.6875,82.86
292,Tilje,Peri Himal (SE of Gyajikang),6530,2,0,Unclimbed,,28.618056,84.335833
293,Tsartse,Mukut Himal (N of Dhampus Peak),6343,16,0,Unclimbed,,28.860278,83.649722
294,Yakawa Kang,Damodar Himal (N of Thorong La),6482,3,2010,"Hidenobu Tsuji, Dawa Norbu Sherpa, Dawa Tshering Sherpa, Tshering Tashi Sherpa",Nov 07 2010,28.8044437,83.9437866
295,Yaupa,Makalu Himal (NE of Shershon village on Tibetan border),6422,14,1989,"Andy Fanshawe, Vic Saunders, Stephen Sustad",Sep 1989,27.833611,87.128889
296,Til Kang,Nalakankar Himal (on W Nepal/Tibetan border),6369,17,0,Unclimbed,,30.27,81.414722
297,Yokopahar,Guras Himal (NNE of Nampa towards Tibetan border),6423,2,0,Unclimbed,,29.835278,81.110556
298,Saldim West,Makalu Himal (ENE of Shershon village on Tibetan border),6388,14,2016,"Vlad Capusan, Zolt Torok",Nov 01 2016,27.824167,87.159167
299,Samdo,Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border),6335,15,2009,"Yasuke Kuramoto, Yoshitaka Kameoka, Kohei Kotani, Seiya Nakasukasa, Daisuke Nakatsuka, Hiroki Yamamoto",Oct 20 2009,28.636111,84.696944
300,Purkhung,Damodar Himal (NE of Thorong La),6126,3,2004,"Yuchiro Ishihara, Satoru Endo, Hirayusu Hatsushiya, Teryuki Iwasaki, Terukai Kubo, Kazuko Takano, Hiroshi Yumoto, Ang Kami, Da Chhemba, Gelu, Lhakpa Tenzi, Pema Tenji, Wongchu Sherpas",Aug 16 2004,28.814722,83.9925
301,Dzasampatse,Khumbu Himal (S of Pasang Lhamu Chuli),6295,12,2004,"Urban Azman, Tadej Golob",Oct 18 2004,28.047,86.61
302,Swelokhan,Manaslu Himal (N of Samdo village on Tibetan border),6180,15,0,Unclimbed,,28.728056,84.645833
303,Mustang Peak,Mustang Himal (S of Mustang Himal peak on Tibetan border),6229,16,2001,"Tomatsu Ohnishi, Koji Mizutani, Takehiko Yanagihara, Katsuhiko Asahi, Mingma Nuru Sherpa, Chuldin Nuru Sherpa, Kancha Dawa Sherpa",Oct 07 2001,,
304,Jinjang,Damodar Himal (E of Thorong La),6111,3,0,Climbed by Japanese in April 1983?,,28.785278,84.035278
305,Jobo Rinjang,Rolwaling Himal (SW of Nangpa La near Tibetan border),6778,19,2009,"Joe Puryear, David Gottlieb",Apr 22 2009,28.022222,86.800833
306,Kyabura,"Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",6294,9,0,Unclimbed?,,27.902778,88.038889
307,Kumlung,Damodar Himal (NE of Saribung and W of Bhrikuti),6355,3,2008,"Paulo Grobel, Paul Vulin",Oct 14 2008,28.9025,84.185
308,Dhaulagari,"Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",6638,2,0,Unclimbed,,29.951389,81.120833
309,Lhayul Peak,Api Himal (SW of Api Main),6395,2,0,Unclimbed,,29.976667,80.868333
310,Merra,Kangchenjunga Himal (WNW of Anidesh Chuli),6334,9,2006,Claus Ostergaard,Oct 18 2006,27.741048,88.016798
311,Pabuk Kang,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),6244,6,0,Unclimbed,,27.949722,87.843889
312,Yanme Kang,Ohmi Kangri Himal (NW of Nangamari on Tibetan border),6206,6,0,Unclimbed,,27.946111,87.850556
313,Danphe Shail,Palchung Himal (N of Kanjiroba on Tibetan border),6103,11,0,Unclimbed,,29.672222,83.008889
314,Ganesh VII,Ganesh Himal (E of Ganesh I in Tibet),6350,5,0,Unclimbed?,,,
315,Pharilapcha,Khumbu Himal (SW of Gokyo Lake),6017,12,2003,"Dinesh Devkota, Ongchu Sherpa, Namgyal Sherpa, Lhakpa Sherpa",May 19 2003,27.929167,86.683333
316,Thorong Peak,Muktinath Himal,6144,1,2007,"Satoru Endo, Mikio Iga, Terue Katakura, Mitsukuni Oka, Rikio Takahashi, Hiroshi Yumoto, Gadjet Bis Gurung, Ang Dawa Tamang, Hit Bahadur Tamang, Pasang Tamang",Nov 08 2007,28.7933777,83.938669
317,Chamar Kang,"Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",6060,16,2007,"Tamotsu Ohnishi, Toshitsugi Irisawa, Koichi Kato, Chhepa Sherpa",Sep 21 2007,,
318,Nupche Kang,Khumbu Himal (ESE of Nangpa La on Tibetan border),6576,12,1964,"Fritz Stammberger, Aila Sherpa",Apr 06 1964,28.101389,86.605
319,Punchen Himal,Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border),6049,5,0,Unclimbed,,28.661111,85.146667
320,Kang Kuru,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,16,2008,"Peter Athans, Theodore Hessler",Apr 16 2008,28.9,84.188333
321,Amphu Middle,Khumbu Himal (NE of Amphu Laptsa),6202,12,2008,"Olaf Rieck, Alexander Graeber",Apr 20 2008,,
322,Lugula,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,3,2010,Renald Guillaune,Nov 02 2010,28.896111,84.261667
323,Bhrikuti Shail,Damodar Himal (NE of Thorong La on Tibetan border),6361,3,2005,"Paulo Grobel, Denis Flaven, Bikram Singh",May 16 2005,28.898,84.201
324,Myagdi Matha,Dhaulagiri Himal (S of Dhaulagiri IV),6273,4,0,Unclimbed?,,28.6642,83.323
325,Tobsar,Shringi Himal (ENE of Chamar),6065,5,0,Unclimbed,,28.594722,85.005278
326,Dingjung Ri,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6196,19,2008,"Kenro Nakajima, Hiroki Yamamoto",Mar 15 2008,27.973056,86.523333
327,Dudh Kundali,Jagdula Lekh (S of Kanjiroba Himal),6045,10,1953,"Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa",Nov 1953,29.223889,82.545556
